Class Number,Image Filename,Class Label,ClassID,ClassIdDesc,Image Height,Image Width
1,00433_0.jpg,danger,25,construction,55,56
0,00570_0.jpg,prohibitory,9,no overtaking,33,32
0,00358_0.jpg,prohibitory,8,speed limit 120,59,57
3,00091_0.jpg,other,13,give way,28,30
3,00091_1.jpg,other,13,give way,36,39
3,00091_2.jpg,other,13,give way,41,44
3,00421_0.jpg,other,13,give way,27,30
0,00699_0.jpg,prohibitory,1,speed limit 30,30,28
3,00897_0.jpg,other,42,restriction ends (overtaking (trucks)),24,23
3,00823_0.jpg,other,13,give way,29,32
2,00823_1.jpg,mandatory,40,roundabout,22,22
2,00823_2.jpg,mandatory,38,keep right,28,28
0,00057_0.jpg,prohibitory,1,speed limit 30,49,46
0,00248_0.jpg,prohibitory,5,speed limit 80,27,24
0,00248_1.jpg,prohibitory,5,speed limit 80,26,26
0,00186_0.jpg,prohibitory,4,speed limit 70,18,18
0,00186_1.jpg,prohibitory,4,speed limit 70,19,20
3,00186_2.jpg,other,12,priority road,23,23
2,00725_0.jpg,mandatory,39,keep left,23,20
3,00146_0.jpg,other,41,restriction ends (overtaking),124,122
1,00146_1.jpg,danger,28,school crossing,22,25
0,00146_2.jpg,prohibitory,2,speed limit 50,18,18
0,00120_0.jpg,prohibitory,2,speed limit 50,103,106
0,00018_0.jpg,prohibitory,4,speed limit 70,31,31
0,00225_0.jpg,prohibitory,1,speed limit 30,66,68
2,00784_0.jpg,mandatory,38,keep right,125,122
0,00749_0.jpg,prohibitory,5,speed limit 80,45,45
0,00749_1.jpg,prohibitory,5,speed limit 80,47,47
0,00011_0.jpg,prohibitory,1,speed limit 30,60,50
1,00011_1.jpg,danger,21,bend,77,70
0,00496_0.jpg,prohibitory,8,speed limit 120,42,41
0,00496_1.jpg,prohibitory,10,no overtaking (trucks),41,41
3,00177_0.jpg,other,14,stop,42,42
3,00177_1.jpg,other,14,stop,40,38
2,00177_2.jpg,mandatory,38,keep right,17,17
3,00177_3.jpg,other,13,give way,35,36
0,00181_0.jpg,prohibitory,4,speed limit 70,60,61
3,00542_0.jpg,other,12,priority road,24,24
3,00039_0.jpg,other,12,priority road,83,84
2,00039_1.jpg,mandatory,35,go straight,61,63
3,00133_0.jpg,other,12,priority road,24,22
2,00133_1.jpg,mandatory,36,go right or straight,18,17
2,00133_2.jpg,mandatory,35,go straight,17,17
2,00084_0.jpg,mandatory,38,keep right,28,27
2,00066_0.jpg,mandatory,38,keep right,52,49
3,00192_0.jpg,other,17,no entry,24,24
0,00192_1.jpg,prohibitory,1,speed limit 30,22,20
3,00192_2.jpg,other,12,priority road,76,77
1,00509_0.jpg,danger,11,priority at next intersection,40,45
