                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90822,                 5.5799,                0.88228,                 0.0122,                0.34347,                0.05649,                0.04033,                0.75921,                 5.3328,                0.81921,              0.0003625,              0.0003625,              0.0003625
                      2,                0.87327,                 3.7742,                0.86951,                0.00453,                0.78011,                 0.5666,                0.44869,                0.75114,                 4.6857,                0.83832,             0.00070099,             0.00070099,             0.00070099
                      3,                 0.8215,                 3.0094,                0.87934,                0.93655,                0.57942,                0.86654,                0.69795,                0.73166,                 3.6383,                 0.8455,              0.0010024,              0.0010024,              0.0010024
                      4,                0.77118,                 2.5123,                0.87092,                0.92784,                0.93514,                0.97071,                0.79605,                 0.6967,                 2.1547,                0.84017,              0.0010644,              0.0010644,              0.0010644
                      5,                0.77989,                 2.1364,                0.86554,                0.95588,                0.95867,                0.97924,                0.81756,                0.67624,                 1.7814,                0.83704,              0.0010644,              0.0010644,              0.0010644
                      6,                0.73215,                 1.8878,                0.86328,                0.94855,                0.97125,                0.98447,                0.82087,                0.65485,                 1.5779,                0.83066,              0.0010025,              0.0010025,              0.0010025
                      7,                0.72785,                 1.6957,                0.85899,                0.93993,                0.91285,                0.97174,                0.80964,                0.70622,                 1.5252,                0.84192,             0.00094062,             0.00094062,             0.00094062
                      8,                0.72352,                 1.5813,                0.85289,                0.95031,                0.94555,                0.98077,                0.82995,                0.62469,                  1.353,                 0.8238,             0.00087875,             0.00087875,             0.00087875
                      9,                0.70774,                 1.3907,                0.84827,                0.95577,                0.95586,                0.98103,                0.84743,                0.60296,                 1.2105,                0.81759,             0.00081688,             0.00081688,             0.00081688
                     10,                0.70548,                 1.2778,                0.84819,                0.95041,                0.95335,                 0.9854,                0.83631,                 0.6498,                  1.161,                 0.8275,               0.000755,               0.000755,               0.000755
                     11,                0.66453,                 1.6978,                0.83555,                0.91117,                0.95605,                0.98278,                0.84503,                0.62316,                 1.0919,                0.82214,             0.00069313,             0.00069313,             0.00069313
                     12,                 0.6318,                 1.4982,                0.83475,                0.95637,                0.95569,                0.98655,                0.84336,                0.64557,                0.96847,                0.82539,             0.00063125,             0.00063125,             0.00063125
                     13,                0.66284,                 1.4138,                0.83838,                0.98642,                0.96389,                0.98813,                0.84298,                0.61247,                0.94118,                0.81826,             0.00056938,             0.00056938,             0.00056938
                     14,                0.62605,                 1.3006,                0.83885,                0.98498,                0.96174,                0.99102,                0.86522,                0.58192,                0.85018,                0.81503,              0.0005075,              0.0005075,              0.0005075
                     15,                0.61409,                 1.2112,                0.83669,                0.97702,                0.96295,                0.98709,                0.85921,                0.57641,                0.82624,                0.81476,             0.00044563,             0.00044563,             0.00044563
                     16,                0.59159,                 1.1261,                0.83186,                 0.9827,                0.96488,                0.99122,                0.86055,                 0.5841,                0.79814,                0.81747,             0.00038375,             0.00038375,             0.00038375
                     17,                0.59133,                 1.0716,                0.83069,                0.96699,                0.96896,                0.99165,                0.86147,                0.59241,                  0.737,                 0.8159,             0.00032188,             0.00032188,             0.00032188
                     18,                0.57953,                 1.0538,                0.82781,                0.98017,                0.96533,                0.99216,                0.85061,                0.60595,                0.71817,                0.81964,                0.00026,                0.00026,                0.00026
                     19,                 0.5752,                 0.9761,                0.82828,                0.99251,                 0.9665,                0.99262,                0.86981,                0.56032,                0.70154,                0.80953,             0.00019813,             0.00019813,             0.00019813
                     20,                0.54487,                0.94854,                0.81644,                0.99348,                0.96694,                0.99273,                0.87981,                0.56565,                0.66075,                0.81022,             0.00013625,             0.00013625,             0.00013625
