                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92766,                 6.1195,                0.89039,                0.00709,                0.59987,                0.03211,                0.02095,                0.86599,                 5.8873,                0.86245,                0.00025,                0.00025,                0.00025
                      2,                0.84222,                 4.5042,                0.87823,                0.00129,                 0.2462,                0.02295,                0.02027,                0.76324,                 5.4888,                0.86178,             0.00048713,             0.00048713,             0.00048713
                      3,                0.84977,                  3.271,                0.86605,                0.00433,                0.88327,                0.58607,                0.46876,                0.84434,                 4.8119,                0.88445,             0.00069828,             0.00069828,             0.00069828
                      4,                0.80432,                 2.8248,                0.85457,                      1,                0.08996,                0.87907,                0.68036,                0.85908,                 4.3622,                0.90166,             0.00088343,             0.00088343,             0.00088343
                      5,                 0.7754,                 2.6947,                0.86084,                      1,                 0.8358,                0.96851,                0.74858,                0.83213,                 3.5843,                0.88857,              0.0010025,              0.0010025,              0.0010025
                      6,                0.78656,                 2.5537,                0.85985,                0.96263,                0.92099,                0.97899,                0.74351,                0.89243,                 2.6328,                0.90695,              0.0010025,              0.0010025,              0.0010025
                      7,                0.74311,                 2.1477,                0.85298,                 0.9599,                0.95585,                0.97619,                0.77457,                0.87486,                 2.2651,                0.89751,             0.00094062,             0.00094062,             0.00094062
                      8,                0.74825,                 2.0217,                0.85159,                0.98677,                0.94587,                0.98424,                0.78975,                0.79059,                 1.8417,                0.88083,             0.00087875,             0.00087875,             0.00087875
                      9,                0.72652,                 1.8346,                0.84856,                0.97134,                0.96659,                  0.981,                0.77343,                0.83117,                 1.8992,                0.89065,             0.00081688,             0.00081688,             0.00081688
                     10,                0.72731,                 1.8228,                  0.858,                0.96849,                0.95498,                0.98293,                0.82435,                0.72122,                 1.7304,                 0.8666,               0.000755,               0.000755,               0.000755
                     11,                0.70288,                 2.4754,                0.85109,                0.98164,                0.98243,                0.99473,                0.82416,                 0.7114,                  1.749,                0.87828,             0.00069313,             0.00069313,             0.00069313
                     12,                0.67217,                 2.3082,                 0.8674,                 0.9786,                0.98758,                  0.995,                0.81038,                0.73985,                 1.4392,                0.88194,             0.00063125,             0.00063125,             0.00063125
                     13,                 0.6736,                 2.1527,                0.85081,                0.94057,                0.94206,                0.98767,                0.81596,                0.71147,                 1.3912,                0.87123,             0.00056938,             0.00056938,             0.00056938
                     14,                0.62733,                 1.9429,                0.84319,                0.96859,                0.98228,                  0.995,                0.82004,                0.69999,                 1.3731,                0.86806,              0.0005075,              0.0005075,              0.0005075
                     15,                0.62992,                 1.8633,                0.83071,                0.98882,                0.99695,                  0.995,                 0.8254,                 0.7021,                 1.2107,                0.87009,             0.00044563,             0.00044563,             0.00044563
                     16,                0.63627,                 1.7968,                0.83393,                0.98984,                0.99664,                  0.995,                0.82641,                0.70098,                 1.1281,                0.86086,             0.00038375,             0.00038375,             0.00038375
                     17,                0.62919,                 1.6844,                0.83395,                0.98206,                      1,                  0.995,                0.82384,                0.71093,                 1.1272,                0.86828,             0.00032188,             0.00032188,             0.00032188
                     18,                0.62364,                 1.6373,                0.83431,                0.98633,                      1,                  0.995,                0.84554,                0.67536,                 1.0763,                0.86583,                0.00026,                0.00026,                0.00026
                     19,                0.59293,                 1.5564,                0.82877,                0.99113,                      1,                  0.995,                0.81916,                0.70064,                 1.0426,                0.86574,             0.00019813,             0.00019813,             0.00019813
                     20,                0.59018,                 1.5169,                0.83119,                 0.9878,                      1,                  0.995,                0.83506,                   0.67,                 1.0131,                0.86342,             0.00013625,             0.00013625,             0.00013625
